reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
f686c31a-afce-41eb-8b51-c5b85ce3a739,Barka adi,https://play-lh.googleusercontent.com/a-/ALV-UjUpDkNwafDKbqVSHd0cJNr19f2khkIM9AGCdpRDpXWkloy352Nu,good,5,0,80.8.3,2025-09-29 10:26:38,"Hai Barka, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. UN",2025-09-29 16:52:43,80.8.3
1e32516b-9686-40ae-9266-6d4223ecf288,LeeRizka,https://play-lh.googleusercontent.com/a-/ALV-UjXjvCfmX2G8MqBEeNR7eS7xG4PFoJ4pS-9aRJeU3B6MuzoZrtNe,"jangan kasih ulasan diaplikasi redbus, nanti nama kita akan nongol dipencarian google dan terlihat perjalanan kita dr dan ke",1,0,80.8.3,2025-09-29 09:10:43,"Hai Kak, Kami mohon maaf atas ketidaknyamanannya, jika ada permasalahan terkait review yang Anda berikan mohon untuk hubungi kami di https://www.redbus.id/info/redcare atau +622139706060 agar bisa kami cek lebih lanjut. UN",2025-09-29 18:25:30,80.8.3
b5794249-3102-4af2-8085-1e51c258e1f1,Isna Furniture,https://play-lh.googleusercontent.com/a-/ALV-UjXofBXyyyNAUuG0jeuPDw1aM7TrxXYa3jzUtZvrDCcteXshUhLB,gmn sich pesen tiket berkali2 ngilang trs,1,0,80.8.3,2025-09-28 20:19:50,,,80.8.3
ff46c6ea-053a-4f97-a8c8-512cca10158c,Ebim Mestro,https://play-lh.googleusercontent.com/a/ACg8ocKL5XvOUUyPRm1DONXdPEGQLL5fBYcUosc9r1tQvbP7JDGKPQ=mo,mantap sangat membantu perjalanan,5,0,80.8.3,2025-09-28 18:10:52,"Hai Ebim, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. UN",2025-09-29 16:52:14,80.8.3
387dd52a-04aa-476c-9971-dccc9b96adaf,Dodo Dodo,https://play-lh.googleusercontent.com/a/ACg8ocKhtAcTabmTQBSa7RHYM_i5aqk21OsbQx9x5OZtvi53yzdPjA=mo,sangat baik,5,0,80.8.3,2025-09-28 11:31:21,"Hai Dodo, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. UN",2025-09-28 18:06:27,80.8.3
d9568576-8dd6-4ec4-a454-e7d91acb3ca8,Seno Bengkulu,https://play-lh.googleusercontent.com/a/ACg8ocIDAkH9LGd8FilQqqYsDYYHc-YlMTIDFigu8g0Xw0zb95T4oQ=mo,ngga lengkap.. tiket bus dari Bengkulu Sumatera ke purwokerto ngga ada.,1,0,,2025-09-28 11:30:40,"Hai, mohon maaf atas ketidaknyamananya. Saat ini untuk rute Bengkulu-Purwokerto belum tersedia dan akan kami jadikan masukan ke tim kami untuk bisa dijadikan perbaikan ke depannya. UN",2025-09-28 18:08:59,
6d22fe2b-f612-443e-96b0-7ee543105c2a,anaf Falih,https://play-lh.googleusercontent.com/a/ACg8ocJGXfbpTSsXYXDqSZmIKNc6LBjbFHVrwktuZo7kZYof5W4jlA=mo,baik,5,0,80.8.3,2025-09-27 19:34:48,"Hai Anaf, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-27 20:41:07,80.8.3
35614952-1277-4f0e-9210-47025d39ccd0,Abdul Mukit,https://play-lh.googleusercontent.com/a/ACg8ocK5CKHPSO3raKLi0R3bsq7loA1gfSlWDmKW6pWRtDPDCUXSCg=mo,redbus emang okey,5,0,80.8.3,2025-09-27 17:43:29,"Hai Abdul, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD

",2025-09-27 20:40:49,80.8.3
ff0df91a-5f89-4440-a16b-265d9877cc42,Soetryy Yanta,https://play-lh.googleusercontent.com/a/ACg8ocI8VIdz-m9Ls_u-8GBU_q1VnilX8cP9vohtEr8sbOb62tbtCw=mo,sangat membantu untuk pencarian tiket bus,5,0,80.8.1,2025-09-27 06:32:21,"Hai Soetryy, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-27 12:15:26,80.8.1
f52920e2-03c2-4678-8984-9aeb70ce9e9e,Marno,https://play-lh.googleusercontent.com/a-/ALV-UjVxBWbxZI-1v3pedbAFAsmIsSyZUzOMBWxz06FYym7gk71QOw3N,"Pemesan ke 2 gagal terus,baik lewat dana atau va,coba restart dan uninstal sama aja",5,0,80.8.3,2025-09-27 04:51:06,"Hai Marno, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-27 12:15:16,80.8.3
3bd691c5-de80-4abb-b298-4a6bdb5c9f42,erwan heriyanto,https://play-lh.googleusercontent.com/a-/ALV-UjXg3-GhgnH7qY1dJmOxlIf9J-Ap-UvwGl5o9r8ioxvcCH2A2bs0,prosesnya cepat. sangat membantu.,5,0,80.6.6,2025-09-26 18:55:40,"Hai Erwan, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-27 12:15:06,80.6.6
30d4d7b5-3260-443b-b85a-61ee4301038e,Riki Suharsono,https://play-lh.googleusercontent.com/a-/ALV-UjVG21vlDoHQgIslVWKjxSVl2hwsePBh0CRmZfYhVyoxwfSCNP5I,ok,5,0,80.8.3,2025-09-26 17:35:49,,,80.8.3
e8ba5778-7882-49ad-8a68-df04b46b5acc,AndreTV,https://play-lh.googleusercontent.com/a-/ALV-UjUMlXh1Cs8R1dSCc1fJMoIilV7o5UQ8ROWPqI6AQm0plRy59zrG,Mudah Dan Aman,5,0,80.8.3,2025-09-26 16:57:28,"Hai Andre, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-27 12:14:56,80.8.3
f8596209-1a11-4396-9eb9-3f351f08f574,Rizky Yusuf,https://play-lh.googleusercontent.com/a/ACg8ocLCAw826dvINnK-t0quo-9-2ojbMOjdF7EyYjdIoEWfSBVyBQ=mo,uang hangus telat 5menut ditinggal,1,0,80.8.3,2025-09-26 05:31:45,"Hai Kak,Kami mohon maaf atas ketidaknyamanannya,terkait permasalahan Anda mohon untuk hubungi kami di https://www.redbus.id/info/redcare atau +622139706060, dengan mengirimkan rincian pemesanan agar bisa kami cek lebih lanjut. Terima kasih",2025-09-26 13:05:43,80.8.3
1a146607-fb34-4349-8e86-23766f87aabe,Muchammad Safi'i,https://play-lh.googleusercontent.com/a-/ALV-UjX1_qrYn3UEwvk51p4HZpVthukQSbM1jh5whio08q6y7cuX7EAg,bagus,5,0,80.8.3,2025-09-26 00:03:28,"Hai Muchammad, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-26 13:06:53,80.8.3
3dbe5a1e-4f4d-4339-be9c-9a1badb62f2b,Riska aprliani,https://play-lh.googleusercontent.com/a/ACg8ocKA1-k-23E7z6A2Y2wLd0qvv1Zolm7I-czOrHqSfA7q8-nG1g=mo,pemesanan yg sangat efisien,5,0,80.8.3,2025-09-25 23:51:36,"Hai Riska, Terima kasih atas dukungannya! Kami senang Anda menghargai komitmen kami untuk secara konsisten menjaga harga lebih rendah dari harga yang dijual di pasaran sepanjang bulan. Kepuasan dan feedback positif Anda sangat berharga bagi kami. Kami harap dapat melayani Anda dengan keunggulan berkelanjutan dan harga yang tidak ada duanya. WD",2025-09-26 13:06:36,80.8.3
